Object Number,Restuarant Name,Restaurant Street address,Restaurant City,State,year opened,year closed,Owner surname(s),Is it in the 1960 Catalog?,pattern,earliest year for artifact,latest year for artifact,Pattern varient,Additional Design,Vessel form,rim diameter (cm),vessel height (in cm),thickness of vessel walls (in mm),thickness of lip (in mm),foot rim diameter (cm),height of foot (in mm),Mark (use letter code sheet),"sticker (use code, 0=none)",volume of cup or teapot in ml,weight (in grams),Additional design
FSL-381,Chiam,2251 So. Wentworth Ave.,Chicago,IL,,,,,0,,,0,4 green Chinese characters to left of address,ashtray,,,,,,,D,0,,,"""...means chinese-american"" below restaurant name ""Chiam""; Phone CA-5-4766"
FSL-153,Chiam Restaurant,6857 W. 136th. St.,Parma Heights,OH,,,,,God of Longevity,,,,,Ash Tray,10.00 cm,2.50 cm,5.13 mm,,5.00 cm,,C,0,,91.86 g,
FSL-017,Chin's Cafe,1614 S. E. Stephens St.,Roseburg,OR,1960,2012,,,Bird/Flowers,,,B-II,,Tea Cup,8,5.50 cm,6.50 mm,7.87 mm,4.00 cm,5.00 mm,G,0,120.00 ml,159.00 g,
FSL-024,Chin's Cafe,1614 S. E. Stephens St.,Roseburg,OR,1960,2012,,,Bird/Flowers,,,B-II,,Tea Cup,8,5.50 cm,6.81 mm,8.00 mm,4.00 cm,5.00 mm,G,0,110.00 ml,159.00 g,
FSL-25,Chin's Cafe,1614 S. E. Stephens St.,Roseburg,OR,1960,2012,,,Bird/Flowers,,,B-II,,Tea Cup,8,5.50 cm,6.56 mm,8.00 mm,4.00 cm,5.00 mm,G,0,110.00 ml,163.00 g,
FSL-151,Chin's Pagoda Restaurant,2092 Lee Road,Cleveland,OH,,,,,Women/Characters,,,,Tall Pagoda in Front of a Cloud or Rock,Tea Cup,7.50 cm,5.00 cm,5.27 mm,6.28 mm,4.00 cm,3.00 cm,B,0,110.00 ml,143.95 g,
FSL-152,Chin's Pagoda Restaurant,2092 Lee Road,Cleveland,OH,,,,,Women/Characters,,,,Tall Pagoda in Front of a Cloud or Rock,Saucer,12.50 cm,2.00 cm,4.74 mm,,6.50 cm,,B,0,,150.87 g,
FSL-195,Chin's Restaurant ,2614 Connecticut Avenue N.W.,Washington,DC,,,,,Women/Characters,,,,,Tea Cup,8.00 cm,5.00 cm,7.71 mm,7.53 mm,4.00 cm,2.00 mm,D,0,90.00 ml,171.27 g,
FSL-002,China Cafe,2055 Fairgrounds Rd. N. E.,Salem,OR,1949,1973,,,Bird/Flowers,,,B-III,,Tea Cup,8,5.50 cm,6.00 mm,7.70 mm,4.00 cm,3.00 mm,D,0,110.00 ml,146.00 g,
FSL-026,China Cafe,2055 Fairgrounds Road,Salem,OR,1949,1973,,,Lustre,,,,,Tea Cup,8,5.50 cm,5.41 mm,6.38 mm,3.00 cm,4.00 mm,B,0,110.00 ml,125.36 g,
FSL-367,China Cafe,2055 Fairgrounds Road,Salem,OR,,,,,Custom flower print (to add to patter identification),,,,3 Chinese characters in cup along rim,tea cup,,,,,,,B,0,,,
FSL-018,China City Cafe,3555 S. Commercial,Salem,OR,1953,1972,,,Women/Characters,,,,,Tea Cup,8,5.00 cm,4.63 mm,6.50 mm,4.00 cm,2.00 mm,B,0,110.00 ml,136.46 g,
FSL-023,China City Cafe,3555 S. Commercial,Salem,OR,1953,1972,,,Women/Characters,,,,,Tea Cup,8,5.00 cm,5.00 mm,6.39 mm,4.00 cm,3.00 mm,B,0,110.00 ml,134.50 g,
FSL-347,China Clipper,,North Lewiston,ID,,,,,two women/characters,,,TW I,Chinese characters to left and right of address,Plate,15.8cm,2.1cm,,,9.8cm,5cm,A,0,,,Best Chinese Food & American Foods
FSL-360,"China Doll Restaurant Beer, Wine, & Liquors",406 Park Ave.,Baltimore,MD,,,,,God of Longevity,,,GL III,Red Chinese characters above address,ashtray ,,,,,,,D,0,,,"Beer, Wine, & Liquors"
FSL-150,China Gate Restaurant ,13863 Cedar Rd.,Cleveland,OH,1955,2018,,yes,Women/Characters,,,,,Tea Cup,7.50 cm,5.00 cm,5.30 mm,6.71 mm,4.00 cm,3.00 cm,B,0,110.00 ml,142.70 g,
FSL-174,China House ,1044 Elm Street,Manchester,NH,1968,,,,Bird/Flowers,,,B-III,chinese woman with modern hair/dress,Tea Cup,7.50 cm,5.00 cm,8.82 mm,7.89 mm,4.00 cm,2.00 mm,D,0,90.00 ml,184.93 g,
FSL-323,China Inn Restaurant,41 Harrison Ave.,Waterbury,CT,,,,,God of Longevity,,,GL III,3 Chinese characters to left of address,ashtray,,,,,,,G,0,,,Pipe hot foods to go; phone 754-9854
